ID;Kundennummer;Dienstleitser; Account  Nr ;Firma;Straße;Stadt;Land; letzte  Änderung 
2;1000901059;UPS;V79516; AGCO  Power ; Linnavuorentie  8-10 ;Linnavuori;Finnland; 2022-08-10  10:01:32 
3;1000015934;;;Allmendinger; Robert-Bosch-Straße  24 ; Bad  Überkingen/Hausen ;Deutschland; 2022-08-10  10:02:15 
4;1000904067;UPS;71A611; Alois  Berger  GmbH ; In  der  Neuen  Welt  14 ; 87700  Memmingen ;Deutschland; 2022-08-10  10:02:43 
5;1000020901;UPS;8VR073; AMETEK  Germany  GmbH ; Rudolf-Diesel-Str.  16 ;Weiterstadt;Deutschland; 2022-08-10  10:02:59 
6;1000901991;UPS;638854; Anton  Häring  KG ; Anton-Häring-Str  1 ;Bubsheim;Deutschland; 2022-08-10  10:06:13 
7;1000910149;UPS;8X106E; Auch  Präzisionsdrehteile ; Untere  Waldplätze  39 ;Stuttgart;Deutschland; 2022-08-10  09:29:03 
8;1000917266;UPS;81A862; Aventics  GmbH ; Ulmer  Strasse  4 ;Laatzen;Deutschland; 2022-08-10  10:03:42 
9;1000902761;UPS;893241; Berger  Feintechnik  GmbH ;Alois-Berger-Allee;Ummendorf;Deutschland; 2022-08-10  10:04:13 
10;905299;UPS;889023; Bodycote  Wärmebehandlung  GmbH ; Wengenstrasse  4 ;Wehingen;Deutschland; 2022-08-10  09:29:21 
11;1000000716;UPS;677A31; Bosch  Diesel  S.R.O ; Na  Dolech  4a ;Jihlava; Tschechische  Republik ; 2022-08-10  10:05:10 
12;1000006936;UPS;30782V; BOSCH  ENGINEERING  GMBH ; Robert  Bosch  Allee  1 ;ABSTATT;; 0000-00-00  00:00:00 
13;1000017869;UPS;99R341; BOSCH  ENGINEERING  GMBH ; Bergfeldstrasse  2 ;HOLZKIRCHEN;; 0000-00-00  00:00:00 
14;1000017870;UPS;68A640; Bosch  Engineering  GmbH ; Robert-Bosch-Allee  1 ; 74232  Abstatt ;; 0000-00-00  00:00:00 
15;1000032740;TNT;70544277; Bosch  IO  GmbH ; Ullsteinstrasse  120 ; 12109  Berlin ;; 0000-00-00  00:00:00 
16;1000010935;UPS;981877; BOSCH  REXROTH  AG ; Bgm.Dr.-Nebel  Strasse  2 ; LOHR  AM  MAIN ;; 0000-00-00  00:00:00 
17;1000010198;TNT;70671093; Bosch  Rexroth  AG ; Glockeraustr.  2 ;Elchingen;; 0000-00-00  00:00:00 
18;1000010199;TNT;70324498; BOSCH  REXROTH  AG ; Dieselstrasse  10 ; 90441  Nürnberg ;Deutschland; 2022-08-10  09:29:36 
19;1000010941;TNT;73029681; Bosch  Sicherheitssysteme  GmbH ; Robert-Bosch-Ring  5 ;Grasbrunn;; 0000-00-00  00:00:00 
20;1000018081;TNT;70445436; Bosch  Sicherheitssysteme  GmbH ; August-Broemel-Str.  6 ;Arnstadt;; 0000-00-00  00:00:00 
21;1000010217;UPS;2AV961; Bosch  Solarthermie    GmbH ; Prozessionsweg  10 ; 48493  Wettringen ;; 0000-00-00  00:00:00 
22;1000020339;UPS;27333E; Bosch  Transmission  Technology  B.V. ; PO  Box  500 ; AM  Tilburg ;; 0000-00-00  00:00:00 
23;1000027657;UPS;04707A; BRENNER  GMBH ; Heppenheimer  Straße  13-15 ;Mannheim;Deutschland; 2022-08-10  09:29:59 
24;1000157812;TNT;70053975; BSH  Hausgeräte    GmbH ; Bamlerstrasse  1A ; 45141  Essen ;Deutschland; 2022-08-10  09:30:38 
25;1000901519;UPS;994039; Burgmaier  Hightech  GmbH  +  Co  KG ; Willy-Messerschmitt-Str.  10, ;Laupheim;; 0000-00-00  00:00:00 
